[width:150px],[width:150px],[width:550px],[width:200px],[width:150px],[width:150px],[width:150px]
Crew Count 3288842998 90239998 238804 [center; colspan:7],,,,,,
Swissair [center; colspan:7; color:red; bold],,,,,,
Flight Close [center; colspan:7],,,,,,
,,,,,,
02Sept98 [colspan:2],,,,,,
Flight: SR0144 [colspan:2],,Date:02Sept98,,,,
=========================================================================================================  [colspan:7],,,,,,
,,,,,,
Departure [colspan:2],JFK,Total Crew,14,,,
Destination [colspan:2],ZRH,Cockpit Crew,3,,,
,,,Cabin Crew,11,,
,,,,,,
Passengers Estimated [colspan:2],228,Crew + Pax,242,,,
,,,,,,
=========================================================================================================  [colspan:7],,,,,,
Cnt.,gl.Cnt.,Name,Rank,Cit.,Ship,Flt
,,,,,,
Cockpit Crew: [colspan:2],,,,,,
1,1,"Haldemann, Severin",CPT,CH,,SR0144
2,2,"Giger, Basil",FO,CH,,SR0144
3,3,"Schaffner, Rene",M/C,CH,,SR0144
--------------------------------------------------------------------------------------------------------- [colspan:7],,,,,,
Cnt.,gl.Cnt.,Name,Rank,Cit.,Ship,Flt
,,,,,,
Cabin Crew: [colspan:2],,,,,,
1,4,"Burkhardt, Irene",FA,CH,,SR0144
2,5,"Braendli, Raphael",FA,CH,,SR0144
3,6,"Castioni, Anne",FA,US,,SR0144
4,7,"Ehlers, Patricia",FA,CH,,SR0144
5,8,"Herzog, Katja",FA,CH,,SR0144
6,9,"Landolt, Selina",FA,CH,,SR0144
7,10,"Polzinowski, Jeannine",FA,CH,,SR0144
8,11,"Reichenbach, Regula",FA,CH,,SR0144
9,12,"Schwanfelder, Peter",FA,CH,,SR0144
10,13,"Wittener, Birgit",FA,CH,,SR0144
11,14,"Zobel, Florence",FA,CH,,SR0144
,,,,,,
=========================================================================================================  [colspan:7],,,,,,
,,,,,,
Identification Number [colspan:2],,,,,,
,,,,,,
gl.Cnt.,,,,,,
1,"Haldemann, Severin [colspan:2]",,CPT-28824991-CH-SR,,,
2,"Giger, Basil [colspan:2]",,FO-139809390-CH-SR,,,
3,"Schaffner, Rene [colspan:2]",,MC-298879931-CH-SR,,,
,,,,,,
4,"Burkhardt, Irene [colspan:2]",,FA-003398488-CH-SR,,,
5,"Braendli, Raphael [colspan:2]",,FA-002993887-CH-SR,,,
6,"Castioni, Anne [colspan:2]",,Fl.Att.993-223-US-Delta-AL,,,
7,"Ehlers, Patricia [colspan:2]",,FA-001993882-CH-SR,,,
8,"Herzog, Katja [colspan:2]",,FA-003388429-CH-SR,,,
9,"Landolt, Selina [colspan:2]",,FA-003598739-CH-SR,,,
10,"Polzinowski, Jeannine [colspan:2]",,FA-004829884-CH-SR,,,
11,"Reichenbach, Regula [colspan:2]",,FA-009817398-CH-SR,,,
12,"Schwanfelder, Peter [colspan:2]",,FA-001938797-CH-SR,,,
13,"Wittener, Birgit [colspan:2]",,FA-001388247-CH-SR,,,
14,"Zobel, Florence [colspan:2]",,FA-004992834-CH-SR,,,
